"Id","Name"
"006dM000008zmj3QAA","Mobile phone and plan for assistant"
"006dM000008zmj4QAA","Dickenson Mobile Generators"
"006dM000008zmj5QAA","United Oil Office Portable Generators"
"006dM000008zmj6QAA","Express Logistics Standby Generator"
"006dM000008zmj7QAA","Grand Hotels Kitchen Generator"
"006dM000008zmj8QAA","United Oil Refinery Generators"
"006dM000008zmj9QAA","United Oil SLA"
"006dM000008zmjAQAQ","Grand Hotels Guest Portable Generators"
"006dM000008zmjBQAQ","Pyramid Emergency Generators"
"006dM000008zmjCQAQ","Express Logistics Portable Truck Generators"
"006dM000008zmjDQAQ","United Oil Installations"
"006dM000008zmjEQAQ","United Oil Installations"
"006dM000008zmjFQAQ","Grand Hotels Generator Installations"
"006dM000008zmjGQAQ","United Oil Refinery Generators"
"006dM000008zmjHQAQ","Express Logistics SLA"
"006dM000008zmjIQAQ","Burlington Textiles Weaving Plant Generator"
"006dM000008zmjJQAQ","United Oil Installations"
"006dM000008zmjKQAQ","United Oil Emergency Generators"
"006dM000008zmjLQAQ","Grand Hotels SLA"
"006dM000008zmjMQAQ","United Oil Standby Generators"
"006dM000008zmjNQAQ","Grand Hotels Emergency Generators"
"006dM000008zmjOQAQ","United Oil Plant Standby Generators"
"006dM000008zmjPQAQ","Laptop for Front Office"
"006dM000008zmjQQAQ","Security System for New Office Location"
"006dM000008zmjRQAQ","Printer for Back Office"
"006dM000008zmjSQAQ","Copy Machine Replacement"
"006dM000008zmjTQAQ","Projector for Training Room"
"006dM000008zmjUQAQ","Desktop Computers for Training Room"
"006dM000008zmjVQAQ","Smartphones for Field Service Team"
"006dM000008zmjWQAQ","Desktop Computers for Support Agents"
"006dM000008zmjXQAQ","Camera for Marketing Team"
"006dM000008zmjYQAQ","Home security system for primary residence"
"006dM000008zmjZQAQ","Home security system with exterior cameras"
"006dM000008zmjaQAA","Toner Pickup"
"006dM000008zmjbQAA","Remote Site Networking"
"006dM000008zmjcQAA","Printer for HR Department"
"006dM000008zmjdQAA","Toners for Main Office"
"006dM000008zmjeQAA","Security Console for New Office Location"
"006dM000008zmjfQAA","RFID Key Cards"
"006dM000008zmjgQAA","Spare Key Cards"
"006dM000008zmjhQAA","Replacement laptop with productivity and softphone"
"006dM000008zmjiQAA","Security system for main office"
"006dM000008zmjjQAA","Networking for main office"
"006dM000008zmjkQAA","Office equipment for main office and training room"
"006dM000008zmjlQAA","Copy machine for main office"
"006dM000008zmjmQAA","Security system for remote training location"
"006dM000008zmjnQAA","Tablets and software for marketing"
"006dM000008zmjoQAA","Laptop, productivity, and cloud storage for new hires"
"006dM000008zmjpQAA","Security cameras with offsite video"
"006dM000008zmjqQAA","Softphones for customer service expansion"
"006dM000008zmjrQAA","Virtual Meeting for Training Team"
"006dM000008zmjsQAA","Tablet for field service"
"006dM000008zmjtQAA","Printer for CFO office"
"006dM000008zmjuQAA","Password Manager Licenses for All Employees"
"006dM000008zmjvQAA","Productivity Suite for Two Years"
"006dM000008zmjwQAA","Multi-year VPN Licenses for Remote Employees"
"006dM000008zmjxQAA","Tech for western campus"
"006dM000008zmjyQAA","New VPN Licenses with Activation"
"006dM000008zmjzQAA","Password Managers for Long Term Contract"
"006dM000008zmk0QAA","Remote medical records workstations"
"006dM000008zmk1QAA","Monitor for radiology"
"006dM000008zmk2QAA","Home automation for primary residence"
"006dM000008zmk3QAA","Laptops for clinical engineering"
"006dM000008zmk4QAA","Home automation for guest house"
"006dM000008zmk5QAA","Smartwatch for Philip"
"006dM000008zmk6QAA","Smartwatch for Philip's daughter"
"006dM000008zmk7QAA","Netbooks for remote learners"
"006dM000008zmk8QAA","Storage for survey equipment"
"006dM000008zmk9QAA","Laptops for new hires"
"006dM000008zmkAQAQ","Remote nurse workstations"
"006dM000008zmkBQAQ","Laptops for IT department"
"006dM000008zmkCQAQ","Netbooks for guest services"
"006dM000008zmkDQAQ","Tech for teaching staff"
"006dM000008zmkEQAQ","Tech for second floor expansion"
"006dM000008zophQAA","TV"
"006dM000008zpaTQAQ","Adidas company"
