"Id","Name"
"02idM000000Fd5tQAC","RFID Key Card"
"02idM000000Fd5uQAC","RFID Key Card"
"02idM000000Fd5vQAC","10"" Tablet"
"02idM000000Fd5wQAC","CPU 1.6GHz i5"
"02idM000000Fd5xQAC","13"" Laptop"
"02idM000000Fd5yQAC","RAM 8GB"
"02idM000000Fd5zQAC","SSD Hard Drive 128GB"
"02idM000000Fd60QAC","Exterior Camera"
"02idM000000Fd61QAC","Interior Camera"
"02idM000000Fd62QAC","CPU 2.8GHz i7"
"02idM000000Fd63QAC","15"" Laptop"
"02idM000000Fd64QAC","RAM 16GB"
"02idM000000Fd65QAC","SSD Hard Drive 512GB"
"02idM000000Fd66QAC","10"" Tablet"
"02idM000000Fd67QAC","CPU 1.6GHz i5"
"02idM000000Fd68QAC","13"" Laptop"
"02idM000000Fd69QAC","RAM 8GB"
"02idM000000Fd6AQAS","SSD Hard Drive 128GB"
"02idM000000Fd6BQAS","15"" Laptop"
"02idM000000Fd6CQAS","CPU 2.2GHz i7"
"02idM000000Fd6DQAS","RAM 8GB"
"02idM000000Fd6EQAS","SSD Hard Drive 256GB"
